paper,line,section_level,section_title_raw,section_title_normalized
Paper I,157,section,Introduction,Introduction
Paper I,172,section,Relation to Causal Set Theory,Relation to Causal Set Theory
Paper I,211,subsection,Covariance remark,Covariance remark
Paper I,224,subsection,Summary comparison,Summary comparison
Paper I,295,subsection,Notation used throughout the kernel paper,Notation used throughout the kernel paper
Paper I,316,section,The Causal Graph,The Causal Graph
Paper I,517,subsection,Level 1 (Kernel): $S_{\mathrm{BDG}} > 0$,Level 1 (Kernel): S_BDG > 0
Paper I,526,subsection,Statistical selectivity as a derived readout,Statistical selectivity as a derived readout
Paper I,538,subsection,Why the kernel-first hierarchy matters,Why the kernel-first hierarchy matters
Paper I,555,subsection,Comparison with entropic and on-shell formulations,Comparison with entropic and on-shell formulations
Paper I,574,subsection,Comparison with wave-equation language,Comparison with wave-equation language
Paper I,617,subsection,Comparison with relativistic language,Comparison with relativistic language
Paper I,637,subsection,The selectivity ceiling,The selectivity ceiling
Paper I,667,subsection,Arithmetic support versus geometric cartography,Arithmetic support versus geometric cartography
Paper I,745,section,"What RA Explains Here, and What It Does Not Yet Explain","What RA Explains Here, and What It Does Not Yet Explain"
Paper I,793,section,Conclusion,Conclusion
Paper I,804,section,Acknowledgments,Acknowledgments
Paper II,153,section,Introduction,Introduction
Paper II,167,section,From Causal Set Theory to a Matter Programme,From Causal Set Theory to a Matter Programme
Paper II,184,paragraph,Compare and contrast.,Compare and contrast.
Paper II,186,paragraph,Open target.,Open target.
Paper II,220,paragraph,Nature-facing target.,Nature-facing target.
Paper II,222,paragraph,Open target.,Open target.
Paper II,235,paragraph,Status.,Status.
Paper II,246,paragraph,Compare and contrast.,Compare and contrast.
Paper II,258,paragraph,Compare and contrast.,Compare and contrast.
Paper II,260,paragraph,Open target.,Open target.
Paper II,270,paragraph,Status.,Status.
Paper II,280,paragraph,Status.,Status.
Paper II,296,paragraph,Status.,Status.
Paper II,306,paragraph,Status.,Status.
Paper II,326,paragraph,Compare and contrast.,Compare and contrast.
Paper II,328,paragraph,Open target.,Open target.
Paper II,344,paragraph,Compare and contrast.,Compare and contrast.
Paper II,346,paragraph,Open target.,Open target.
Paper II,352,paragraph,Compare and contrast.,Compare and contrast.
Paper II,354,paragraph,Open target.,Open target.
Paper II,360,paragraph,Compare and contrast.,Compare and contrast.
Paper II,362,paragraph,Open target.,Open target.
Paper II,375,paragraph,Nature-facing target.,Nature-facing target.
Paper II,377,paragraph,Compare and contrast.,Compare and contrast.
Paper II,379,paragraph,Open target.,Open target.
Paper II,385,paragraph,Compare and contrast.,Compare and contrast.
Paper II,391,paragraph,Compare and contrast.,Compare and contrast.
Paper II,393,paragraph,Open target.,Open target.
Paper II,419,paragraph,Compare and contrast.,Compare and contrast.
Paper II,421,paragraph,Open target.,Open target.
Paper II,424,section,"What RA Explains Here, and What It Does Not Yet Explain","What RA Explains Here, and What It Does Not Yet Explain"
Paper II,451,paragraph,Why this honesty matters.,Why this honesty matters.
Paper II,454,section,Conclusion,Conclusion
Paper II,464,section,Acknowledgments,Acknowledgments
Paper III,152,section,Introduction,Introduction
Paper III,181,paragraph,Compare and contrast.,Compare and contrast.
Paper III,183,paragraph,Observable target.,Observable target.
Paper III,185,paragraph,Open target.,Open target.
Paper III,252,paragraph,Status.,Status.
Paper III,254,paragraph,Compare and contrast.,Compare and contrast.
Paper III,256,paragraph,No close analogue.,No close analogue.
Paper III,258,paragraph,Open target.,Open target.
Paper III,338,paragraph,Compare and contrast.,Compare and contrast.
Paper III,340,paragraph,Open target.,Open target.
Paper III,351,paragraph,Status.,Status.
Paper III,373,paragraph,Status.,Status.
Paper III,391,paragraph,Compare and contrast.,Compare and contrast.
Paper III,411,paragraph,Compare and contrast.,Compare and contrast.
Paper III,413,paragraph,Open target.,Open target.
Paper III,430,paragraph,Compare and contrast.,Compare and contrast.
Paper III,432,paragraph,Open target.,Open target.
Paper III,462,paragraph,Open target.,Open target.
Paper III,465,section,"What RA Explains Here, and What It Does Not Yet Explain","What RA Explains Here, and What It Does Not Yet Explain"
Paper III,490,section,Conclusion,Conclusion
Paper III,500,section,Acknowledgments,Acknowledgments
Paper IV,160,section,Introduction,Introduction
Paper IV,195,subsection,Recursive coarse-graining formalism,Recursive coarse-graining formalism
Paper IV,212,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,214,paragraph,Observable target.,Observable target.
Paper IV,216,paragraph,Open target.,Open target.
Paper IV,252,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,254,paragraph,Observable target.,Observable target.
Paper IV,256,paragraph,Open target.,Open target.
Paper IV,271,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,273,paragraph,Open target.,Open target.
Paper IV,309,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,311,paragraph,Observable target.,Observable target.
Paper IV,313,paragraph,Open target.,Open target.
Paper IV,333,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,347,paragraph,Falsifiable prediction.,Falsifiable prediction.
Paper IV,349,paragraph,Falsifiable prediction.,Falsifiable prediction.
Paper IV,362,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,364,paragraph,Open target.,Open target.
Paper IV,370,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,376,paragraph,Compare and contrast.,Compare and contrast.
Paper IV,395,section,"What RA Explains Here, and What It Does Not Yet Explain","What RA Explains Here, and What It Does Not Yet Explain"
Paper IV,423,section,Conclusion,Conclusion
Paper IV,434,section,Acknowledgments,Acknowledgments
