id,name,node_type,domain,legacy_proof_status,legacy_support_status,reason,suggested_next_action
RA-ONT-001,Finite causal graph ontology,claim,kernel,STATED,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-ONT-002,Irreversible actualization,claim,kernel,STATED,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-ONT-003,Structured potentia / adjacent possible,claim,kernel,STATED,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-ONT-004,Finitary Actuality,claim,kernel,STATED,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-KERNEL-003,Finite potentia,claim,kernel,DR,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-MOTIF-001,Native motif sector definition,claim,matter,STATED,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-GRAV-004,Severed-link entropy observable,claim,gravity,DR,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-GRAV-005,Discrete boundary law,claim,gravity,DR,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-COMP-001,Tier hierarchy,claim,complexity,DR,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-COMP-002,Recursive closure,claim,complexity,DR,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-COMP-004,RA assembly depth,claim,complexity,DR,none,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-COMP-005,Glycolysis assembly depth estimate,claim,complexity,DR,PI,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-COMP-006,E. coli assembly depth estimate,claim,complexity,DR,PI,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-COMP-007,Origin-of-life sandwich bound,claim,complexity,DR,PI,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-COMP-008,Substrate-independent biosignature criteria,claim,complexity,DR,PI,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-NONTARGET-001,Born rule as non-target,framing,framing,DR,CC,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
RA-NONTARGET-003,Metric field as non-primitive,framing,framing,DR,CC,No file-backed artifact edge in inventory,"Create/link MD derivation, Lean formalization, Python computation, or mark as foundation/framing as appropriate."
