claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_GraphOrientationChart_v1,RA_GraphOrientationChart_v1.lean,lean,formalization_scaffold,GraphOrientationData; orientationChartOfGraphData; signSourceOfGraphOrientationData; GraphOrientedN1Boundary; ledgerOfGraphOrientedBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Scaffold showing graph-native orientation data deterministically induces frontier chart/sign source and seven-value ledger; derivation of GraphOrientationData remains open.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_GraphOrientationChart_v1,RA_GraphOrientationChart_v1.lean,lean,formalization_scaffold,GraphOrientationData; orientationChartOfGraphData; signSourceOfGraphOrientationData; GraphOrientedN1Boundary; ledgerOfGraphOrientedBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Scaffold showing graph-native orientation data deterministically induces frontier chart/sign source and seven-value ledger; derivation of GraphOrientationData remains open.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_GraphOrientationChart_v1,RA_GraphOrientationChart_v1.lean,lean,formalization_scaffold,GraphOrientationData; orientationChartOfGraphData; signSourceOfGraphOrientationData; GraphOrientedN1Boundary; ledgerOfGraphOrientedBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Scaffold showing graph-native orientation data deterministically induces frontier chart/sign source and seven-value ledger; derivation of GraphOrientationData remains open.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_GraphOrientationChart_v1,RA_GraphOrientationChart_v1.lean,lean,formalization_scaffold,GraphOrientationData; orientationChartOfGraphData; signSourceOfGraphOrientationData; GraphOrientedN1Boundary; ledgerOfGraphOrientedBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Graph orientation data links frontier normal form to deterministic selector/ledger scaffolding without primitive randomness.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_GraphOrientationChart_v1,RA_GraphOrientationChart_v1.lean,lean,formalization_scaffold,GraphOrientationData; orientationChartOfGraphData; signSourceOfGraphOrientationData; GraphOrientedN1Boundary; ledgerOfGraphOrientedBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Graph orientation data links frontier normal form to deterministic selector/ledger scaffolding without primitive randomness.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-LEAN-RA_GraphOrientationChart_v1,RA_GraphOrientationChart_v1.lean,lean,formalization_scaffold,GraphOrientationData; orientationChartOfGraphData; signSourceOfGraphOrientationData; GraphOrientedN1Boundary; ledgerOfGraphOrientedBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional support path from graph orientation data to seven-value signed N1 charge spectrum.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-NOTE-GraphOrientationChartProgramme,RA_GraphOrientationChart_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains graph orientation data -> orientation chart -> sign source rung and remaining hard theorem.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-REPORT-GraphOrientationChartFirstFormalization,RA_GraphOrientationChart_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and definitions/lemmas for RA_GraphOrientationChart_v1.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-NOTE-GraphOrientationChartProgramme,RA_GraphOrientationChart_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains graph orientation data -> orientation chart -> sign source rung and remaining hard theorem.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-REPORT-GraphOrientationChartFirstFormalization,RA_GraphOrientationChart_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and definitions/lemmas for RA_GraphOrientationChart_v1.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-NOTE-GraphOrientationChartProgramme,RA_GraphOrientationChart_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains graph orientation data -> orientation chart -> sign source rung and remaining hard theorem.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-REPORT-GraphOrientationChartFirstFormalization,RA_GraphOrientationChart_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and definitions/lemmas for RA_GraphOrientationChart_v1.
