measure,seed,n,mean_N1,mean_N2,mean_N3,mean_N4,mean_V4,mean_S,mean_parent_size,mean_orig_parent_size,mean_frontier_parent_size,mean_mu_v4
parent_subset_uniform,asym_branch,1250,1.8080000000,2.0216000000,0.7552000000,0.9648000000,5.5496000000,13.0216000000,3.4424000000,3.4424000000,1.8080000000,1.8814498734
parent_subset_uniform,chain2,1250,1.7024000000,1.8608000000,0.6072000000,0.8344000000,5.0048000000,13.0048000000,3.2096000000,3.2096000000,1.7024000000,1.7465740055
parent_subset_uniform,chain4,1250,1.6336000000,1.7416000000,0.8216000000,0.9272000000,5.1240000000,9.3128000000,3.4336000000,3.4336000000,1.6336000000,1.8148945093
parent_subset_uniform,sym_branch,1250,1.7664000000,1.9880000000,0.5960000000,0.9784000000,5.3288000000,15.4168000000,3.4392000000,3.4392000000,1.7664000000,1.8351906198
closure_uniform,asym_branch,1250,2.5296000000,2.0328000000,0.5904000000,0.8672000000,6.0200000000,14.2568000000,2.5296000000,2.5296000000,2.5296000000,1.9007943101
closure_uniform,chain2,1250,2.3320000000,1.8360000000,0.4832000000,0.7960000000,5.4472000000,13.8288000000,2.3320000000,2.3320000000,2.3320000000,1.7506563783
closure_uniform,chain4,1250,2.4704000000,1.8920000000,0.5848000000,0.9664000000,5.9136000000,13.9320000000,2.4704000000,2.4704000000,2.4704000000,1.8703410293
closure_uniform,sym_branch,1250,2.4736000000,1.9568000000,0.4800000000,0.9560000000,5.8664000000,16.1056000000,2.4736000000,2.4736000000,2.4736000000,1.8728766946
profile_uniform,asym_branch,1250,2.3880000000,2.0320000000,0.5448000000,0.9552000000,5.9200000000,15.8248000000,2.3880000000,2.3880000000,2.3880000000,1.8706740792
profile_uniform,chain2,1250,2.2280000000,1.8720000000,0.4704000000,0.8552000000,5.4256000000,14.9352000000,2.2280000000,2.2280000000,2.2280000000,1.7361949189
profile_uniform,chain4,1250,2.2480000000,1.9672000000,0.6048000000,0.9592000000,5.7792000000,14.4536000000,2.2480000000,2.2480000000,2.2480000000,1.8206063604
profile_uniform,sym_branch,1250,2.3432000000,2.0920000000,0.4976000000,1.0168000000,5.9496000000,17.6576000000,2.3432000000,2.3432000000,2.3432000000,1.8492727611
