mode,severity,samples,mean_support_width,support_loss_rate,readiness_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate,mean_finality_depth_shift,mean_recovery_length
edge_dropout,0.0,4000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edge_dropout,0.25,4000,1.0,0.95525,0.95525,0.95525,0.95525,-3.331546,0.637329
edge_dropout,0.5,4000,1.0,0.971,0.971,0.971,0.971,-3.624235,0.727132
edge_dropout,0.75,4000,1.0,0.971,0.971,0.971,0.971,-3.617726,0.520914
edge_dropout,1.0,4000,1.0,0.971,0.971,0.971,0.971,1.11236,0.0
frontier_dropout,0.0,4000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
frontier_dropout,0.25,4000,1.0,0.971,0.971,0.971,0.971,,
frontier_dropout,0.5,4000,1.0,0.971,0.971,0.971,0.971,,
frontier_dropout,0.75,4000,1.0,0.971,0.971,0.971,0.971,,
frontier_dropout,1.0,4000,1.0,0.971,0.971,0.971,0.971,,
ledger_failure,0.0,4000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ledger_failure,0.25,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
ledger_failure,0.5,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
ledger_failure,0.75,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
ledger_failure,1.0,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
orientation_degradation,0.0,4000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.25,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
orientation_degradation,0.5,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
orientation_degradation,0.75,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
orientation_degradation,1.0,4000,1.0,0.971,0.971,0.971,0.971,0.0,0.0
selector_stress,0.0,4000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,4000,1.0,0.0,0.0,0.971,0.0,0.0,0.0
selector_stress,0.5,4000,1.0,0.0,0.0,0.971,0.0,0.0,0.0
selector_stress,0.75,4000,1.0,0.0,0.0,0.971,0.0,0.0,0.0
selector_stress,1.0,4000,1.0,0.0,0.0,0.971,0.0,0.0,0.0
support_delay,0.0,4000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.25,4000,1.0,0.0,0.971,0.971,0.971,1.0,1.0
support_delay,0.5,4000,1.0,0.0,0.971,0.971,0.971,2.0,2.0
support_delay,0.75,4000,1.0,0.0,0.971,0.971,0.971,4.0,4.0
support_delay,1.0,4000,1.0,0.0,0.971,0.971,0.971,5.0,5.0
