keying,mode,family_semantics,threshold_fraction,severity,joint_strata,estimable_joint_strata,estimable_fraction,total_rows,estimable_rows
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.25,4,0,0.0,3600,0
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.5,4,0,0.0,3600,0
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.75,4,0,0.0,3600,0
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.25,4,0,0.0,3600,0
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.5,4,0,0.0,3600,0
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.75,4,0,0.0,3600,0
incidence_role_signed,selector_stress,augmented_exact_k,0.25,0.25,4,0,0.0,3600,0
incidence_role_signed,selector_stress,augmented_exact_k,0.25,0.5,4,0,0.0,3600,0
incidence_role_signed,selector_stress,augmented_exact_k,0.25,0.75,4,0,0.0,3600,0
incidence_role_signed,,augmented_exact_k,0.25,,4,0,0.0,239400,0
shuffled_overlap_control,ledger_failure,augmented_exact_k,0.25,0.25,4,0,0.0,3600,0
shuffled_overlap_control,ledger_failure,augmented_exact_k,0.25,0.5,4,0,0.0,3600,0
shuffled_overlap_control,ledger_failure,augmented_exact_k,0.25,0.75,4,0,0.0,3600,0
shuffled_overlap_control,orientation_degradation,augmented_exact_k,0.25,0.25,4,0,0.0,3600,0
shuffled_overlap_control,orientation_degradation,augmented_exact_k,0.25,0.5,4,0,0.0,3600,0
shuffled_overlap_control,orientation_degradation,augmented_exact_k,0.25,0.75,4,0,0.0,3600,0
shuffled_overlap_control,selector_stress,augmented_exact_k,0.25,0.25,4,0,0.0,3600,0
shuffled_overlap_control,selector_stress,augmented_exact_k,0.25,0.5,4,0,0.0,3600,0
shuffled_overlap_control,selector_stress,augmented_exact_k,0.25,0.75,4,0,0.0,3600,0
